Symbol_1,periodOfReport,employeeCount
COLT.L,,
CMA,2022-12-31,7280
CMA,2022-12-31,7280
CMA,2022-12-31,7280
CMA,2022-12-31,7280
CCRO3.SA,,
CCRO3.SA,,
CCRO3.SA,,
CCRO3.SA,,
CCRO3.SA,,
CCRO3.SA,,
unknown,,
unknown,,
CBA.AX,,
CBA.AX,,
CBA.AX,,
CBA.AX,,
CBA.AX,,
CBA.AX,,
CBA.AX,,
CBA.AX,,
CBA.AX,,
2324.TW,,
2324.TW,,
2324.TW,,
2324.TW,,
2324.TW,,
2324.TW,,
2324.TW,,
CFR.SW,,
CPWR,2023-12-31,2
SBSP3.SA,,
SBSP3.SA,,
SBSP3.SA,,
SBSP3.SA,,
SBSP3.SA,,
SBSP3.SA,,
CAG,2024-05-26,18500
CAG,2024-05-26,18500
CAG,2024-05-26,18500
CAG,2024-05-26,18500
COP,2023-12-31,9900
COP,2023-12-31,9900
COP,2023-12-31,9900
COP,2023-12-31,9900
COP,2023-12-31,9900
COP,2023-12-31,9900
CNX,2023-12-31,470
ED,2023-12-31,14592
ED,2023-12-31,14592
STZ,2024-02-29,10600
STZ,2024-02-29,10600
STZ,2024-02-29,10600
CON.DE,,
5021.T,,
5021.T,,
5021.T,,
5021.T,,
unknown,,
CPFE3.SA,,
CPFE3.SA,,
CWK.L,,
CWK.L,,
CSGN.SW,,
CSGN.SW,,
CSGN.SW,,
CSGN.SW,,
CSGN.SW,,
CVAL.MI,,
ACA.PA,,
CSL.AX,,
CSL.AX,,
CRST.L,,
CRST.L,,
CRST.L,,
CRST.L,,
CRH.L,,
CRH.L,,
CABK.MC,,
CABK.MC,,
CABK.MC,,
CWN.AX,,
CRDA.L,,
CRDA.L,,
CRDA.L,,
CRDA.L,,
CRDA.L,,
CRDA.L,,
CRDA.L,,
CY,,
CY,,
CSX,2023-12-31,23000
CSX,2023-12-31,23000
CMI,2023-12-31,75500
CMI,2023-12-31,75500
CMI,2023-12-31,75500
CMI,2023-12-31,75500
CMI,2023-12-31,75500
CMI,2023-12-31,75500
CMI,2023-12-31,75500
CMI,2023-12-31,75500
CMI,2023-12-31,75500
CMI,2023-12-31,75500
CMI,2023-12-31,75500
CMI,2023-12-31,75500
CVS,2023-12-31,300000
047040.KS,,
047040.KS,,
047040.KS,,
047040.KS,,
047040.KS,,
047040.KS,,
000210.KS,,
000210.KS,,
006800.KS,,
006800.KS,,
006800.KS,,
006800.KS,,
006800.KS,,
7912.T,,
7912.T,,
7912.T,,
7912.T,,
7912.T,,
7912.T,,
7912.T,,
7912.T,,
7912.T,,
7912.T,,
7912.T,,
7912.T,,
7912.T,,
7912.T,,
4202.T,,
6367.T,,
6367.T,,
6367.T,,
4568.T,,
4568.T,,
4568.T,,
4568.T,,
4568.T,,
4568.T,,
4568.T,,
4568.T,,
4568.T,,
4568.T,,
DAI.DE,,
DAI.DE,,
DAI.DE,,
DAI.DE,,
DAI.DE,,
DAI.DE,,
DAI.DE,,
DAI.DE,,
DAI.DE,,
DAI.DE,,
DAI.DE,,
DAI.DE,,
DCG.L,,
DCG.L,,
1925.T,,
1925.T,,
1925.T,,
1925.T,,
1925.T,,
1925.T,,
1925.T,,
1925.T,,
1925.T,,
1925.T,,
1925.T,,
BN.PA,,
BN.PA,,
BN.PA,,
BN.PA,,
BN.PA,,
BN.PA,,
DANSKE.CO,,
DANSKE.CO,,
DRI,2024-05-26,191105
8163.TW,,
unknown,,
unknown,,
DE,2024-10-27,75847
DE,2024-10-27,75847
DCC.L,,
DLAR.L,,
DF,,
DF,,
DF,,
DLPH,,
DLPH,,
DAL,2023-12-31,103000
DELL,2024-02-02,120000
191738Z,,
191738Z,,
191738Z,,
4324.T,,
4324.T,,
4324.T,,
4324.T,,
4324.T,,
4324.T,,
4324.T,,
4324.T,,
4324.T,,
4324.T,,
4324.T,,
4324.T,,
4324.T,,
4324.T,,
4324.T,,
4324.T,,
4324.T,,
DLN.L,,
DLN.L,,
DLN.L,,
DLN.L,,
DLN.L,,
DLN.L,,
DLN.L,,
DLN.L,,
DLN.L,,
DLN.L,,
DLN.L,,
DLN.L,,
DLN.L,,
DLN.L,,
DLN.L,,
DLN.L,,
DLN.L,,
DXS.AX,,
DXS.AX,,
DXS.AX,,
DXS.AX,,
DBK.DE,,
DBK.DE,,
DBK.DE,,
DBK.DE,,
DBK.DE,,
DB11,,
DPB.DE,,
DPB.DE,,
DPB.DE,,
DPB.DE,,
DPW.DE,,
DPW.DE,,
DPW.DE,,
DPW.DE,,
DPW.DE,,
DPW.DE,,
DTE.DE,,
DVN,2023-12-31,1900
DVN,2023-12-31,1900
unknown,,
unknown,,
unknown,,
unknown,,
unknown,,
unknown,,
unknown,,
unknown,,
unknown,,
unknown,,
unknown,,
unknown,,
unknown,,
unknown,,
unknown,,
DGE.L,,
DGE.L,,
DGE.L,,
DGE.L,,
DGE.L,,
DGE.L,,
DGE.L,,
DGE.L,,
DGE.L,,
DGE.L,,
DIGI.KL,,
DTV,,
DTV,,
DTV,,
DTV,,
DTV,,
unknown,,
unknown,,
DSY.JO,,
DSY.JO,,
DSY.JO,,
DSY.JO,,
DSY.JO,,
DNO.OL,,
DNO.OL,,
DNO.OL,,
DST.JO,,
DST.JO,,
DST.JO,,
DST.JO,,
DOW,2024-12-31,36000
DOW,2024-12-31,36000
DOW,2024-12-31,36000
DOW,2024-12-31,36000
DOW,2024-12-31,36000
DOW,2024-12-31,36000
DOW,2024-12-31,36000
DOW,2024-12-31,36000
DOW,2024-12-31,36000
DOW,2024-12-31,36000
DOW,2024-12-31,36000
DOW,2024-12-31,36000
DOM.L,,
DOM.L,,
DOM.L,,
005830.KS,,
042670.KS,,
042670.KS,,
042670.KS,,
042670.KS,,
042670.KS,,
042670.KS,,
042670.KS,,
042670.KS,,
042670.KS,,
042670.KS,,
042670.KS,,
042670.KS,,
042670.KS,,
042670.KS,,
042670.KS,,
042670.KS,,
042670.KS,,
034020.KS,,
034020.KS,,
034020.KS,,
034020.KS,,
034020.KS,,
034020.KS,,
034020.KS,,
034020.KS,,
034020.KS,,
034020.KS,,
034020.KS,,
034020.KS,,
034020.KS,,
034020.KS,,
034020.KS,,
